ID,Order ID,Product ID,Quantity,Unit Price
27,30,34,100,14
28,30,80,30,3.5
29,31,7,10,30
30,31,51,10,53
31,31,80,10,3.5
32,32,1,15,18
33,32,43,20,46
34,33,19,30,9.2
35,34,19,20,9.2
36,35,48,10,12.75
37,36,41,200,9.65
38,37,8,17,40
39,38,43,300,46
40,39,48,100,12.75
41,40,81,200,2.99
42,41,43,300,46
43,42,6,10,25
44,42,4,10,22
45,42,19,10,9.2
46,43,80,20,3.5
47,43,81,50,2.99
48,44,1,25,18
49,44,43,25,46
50,44,81,25,2.99
51,45,41,50,9.65
52,45,40,50,18.4
53,46,57,100,19.5
54,46,72,50,34.8
55,47,34,300,14
56,48,8,25,40
57,48,19,25,9.2
59,50,21,20,10
60,51,5,25,21.35
61,51,41,30,9.65
62,51,40,30,18.4
66,56,48,10,12.75
67,55,34,87,14
68,79,7,30,30
69,79,51,30,53
70,78,17,40,39
71,77,6,90,25
72,76,4,30,22
73,75,48,40,12.75
74,74,48,40,12.75
75,73,41,10,9.65
76,72,43,5,46
77,71,40,40,18.4
78,70,8,20,40
79,69,80,15,3.5
80,67,74,20,10
81,60,72,40,34.8
82,63,3,50,10
83,63,8,3,40
84,58,20,40,81
85,58,52,40,7
86,80,56,10,38
90,81,81,0,2.99
91,81,56,0,38
